School,State,Control,Total Applications,Total Accepted,Acceptance Rate,Total Cost,Total Population,Male Population,Female Population,Male Percentage,Female Percentage, M/F 
Southern University and A & M College,LA,Public,"8,551","5,035",58.88%,"$33,334","8,317","2,887","5,430",34.71%,65.29%,35/65
Southern University at New Orleans,LA,Public,"1,318","1,045",79.29%,"$31,381","2,106",568,"1,538",26.97%,73.03%,27/73
Southern Utah University,UT,Public,"17,209","15,269",88.73%,"$33,702","13,611","5,593","8,018",41.09%,58.91%,41/59
Southwest Baptist University,MO,Private not-for-profit,871,838,96.21%,"$38,828","2,709",989,"1,720",36.51%,63.49%,37/63
Southwest Minnesota State University,MN,Public,"1,672","1,522",91.03%,"$23,194","6,986","2,676","4,310",38.31%,61.69%,38/62
Southwestern Assemblies of God University,TX,Private not-for-profit,658,562,85.41%,"$33,242","1,843",885,958,48.02%,51.98%,48/52
Southwestern Oklahoma State University,OK,Public,"2,076","1,954",94.12%,"$31,006","4,648","1,756","2,892",37.78%,62.22%,38/62
Spelman College,GA,Private not-for-profit,"11,176","5,673",50.76%,"$49,566","2,417",0,"2,417",0.00%,100.00%,0/100
Spring Arbor University,MI,Private not-for-profit,"1,760","1,055",59.94%,"$44,892","2,685",577,"2,108",21.49%,78.51%,21/79
Springfield College,MA,Private not-for-profit,"2,853","2,194",76.90%,"$58,964","2,965","1,294","1,671",43.64%,56.36%,44/56
St Bonaventure University,NY,Private not-for-profit,"3,330","2,601",78.11%,"$55,420","2,594","1,274","1,320",49.11%,50.89%,49/51
St Catherine University,MN,Private not-for-profit,"1,561","1,169",74.89%,"$61,450","3,904",255,"3,649",6.53%,93.47%,7/93
St Lawrence University,NY,Private not-for-profit,"5,217","2,950",56.55%,"$79,665","2,279","1,053","1,226",46.20%,53.80%,46/54
St Olaf College,MN,Private not-for-profit,"6,494","3,080",47.43%,"$69,000","2,988","1,261","1,727",42.20%,57.80%,42/58
St. Francis College,NY,Private not-for-profit,"4,488","3,826",85.25%,"$51,298","2,489",909,"1,580",36.52%,63.48%,37/63
St. John Fisher University,NY,Private not-for-profit,"4,515","3,210",71.10%,"$53,914","3,539","1,320","2,219",37.30%,62.70%,37/63
St. John's University-New York,NY,Private not-for-profit,"23,658","20,143",85.14%,"$70,178","19,658","8,218","11,440",41.80%,58.20%,42/58
St. Joseph's University-New York,NY,Private not-for-profit,"4,107","3,276",79.77%,$0,"4,687","1,371","3,316",29.25%,70.75%,29/71
St. Mary's University,TX,Private not-for-profit,"4,305","3,808",88.46%,"$51,174","3,432","1,439","1,993",41.93%,58.07%,42/58
St. Thomas Aquinas College,NY,Private not-for-profit,"1,417","1,264",89.20%,"$55,780","2,026",988,"1,038",48.77%,51.23%,49/51
St. Thomas University,FL,Private not-for-profit,"6,737","4,774",70.86%,"$51,666","5,921","2,536","3,385",42.83%,57.17%,43/57
Stanbridge University,CA,Private for-profit,"1,648",173,10.50%,$0,"1,901",442,"1,459",23.25%,76.75%,23/77
Stanford University,CA,Private not-for-profit,"55,471","2,190",3.95%,"$82,162","17,680","9,445","8,235",53.42%,46.58%,53/47
State University of New York at New Paltz,NY,Public,"12,482","5,759",46.14%,"$37,698","7,075","2,542","4,533",35.93%,64.07%,36/64
State University of New York at Oswego,NY,Public,"10,357","8,249",79.65%,"$37,419","7,058","3,249","3,809",46.03%,53.97%,46/54
Stephen F Austin State University,TX,Public,"7,811","6,493",83.13%,"$36,134","12,000","4,276","7,724",35.63%,64.37%,36/64
Stetson University,FL,Private not-for-profit,"9,260","8,486",91.64%,"$71,810","4,257","1,846","2,411",43.36%,56.64%,43/57
Stevens Institute of Technology,NJ,Private not-for-profit,"11,320","5,965",52.69%,"$77,954","8,287","5,922","2,365",71.46%,28.54%,71/29
Stevenson University,MD,Private not-for-profit,"4,431","4,027",90.88%,"$58,518","3,454","1,182","2,272",34.22%,65.78%,34/66
Stockton University,NJ,Public,"6,247","5,281",84.54%,"$42,710","9,352","3,535","5,817",37.80%,62.20%,38/62
Stonehill College,MA,Private not-for-profit,"7,219","5,198",72.00%,"$69,600","2,479","1,082","1,397",43.65%,56.35%,44/56
Stony Brook University,NY,Public,"38,826","18,659",48.06%,"$48,438","26,608","12,432","14,176",46.72%,53.28%,47/53
Suffolk University,MA,Private not-for-profit,"7,501","6,603",88.03%,"$65,464","6,647","2,634","4,013",39.63%,60.37%,40/60
SUNY at Albany,NY,Public,"21,265","14,458",67.99%,"$46,946","17,075","7,415","9,660",43.43%,56.57%,43/57
SUNY at Fredonia,NY,Public,"4,668","4,236",90.75%,"$35,957","3,764","1,518","2,246",40.33%,59.67%,40/60
SUNY at Purchase College,NY,Public,"4,047","3,052",75.41%,"$38,451","3,522","1,455","2,067",41.31%,58.69%,41/59
SUNY Brockport,NY,Public,"7,800","5,963",76.45%,"$36,956","6,991","2,698","4,293",38.59%,61.41%,39/61
SUNY Buffalo State University,NY,Public,"12,057","10,193",84.54%,"$37,608","7,173","2,924","4,249",40.76%,59.24%,41/59
SUNY College at Geneseo,NY,Public,"9,103","6,723",73.85%,"$36,542","4,535","1,641","2,894",36.19%,63.81%,36/64
SUNY College at Old Westbury,NY,Public,"4,613","3,532",76.57%,"$34,268","4,381","1,745","2,636",39.83%,60.17%,40/60
SUNY College at Plattsburgh,NY,Public,"6,733","4,576",67.96%,"$38,241","4,738","1,868","2,870",39.43%,60.57%,39/61
SUNY College at Potsdam,NY,Public,"3,225","2,623",81.33%,"$35,962","2,607",955,"1,652",36.63%,63.37%,37/63
SUNY College of Agriculture and Technology at Cobleskill,NY,Public,"2,064","1,672",81.01%,"$37,964","1,820",807,"1,013",44.34%,55.66%,44/56
SUNY College of Environmental Science and Forestry,NY,Public,"2,252","1,471",65.32%,"$40,466","2,012",984,"1,028",48.91%,51.09%,49/51
SUNY College of Technology at Alfred,NY,Public,"4,719","3,874",82.09%,"$33,108","3,414","2,143","1,271",62.77%,37.23%,63/37
SUNY College of Technology at Canton,NY,Public,"2,275","2,166",95.21%,"$31,424","2,863","1,252","1,611",43.73%,56.27%,44/56
SUNY College of Technology at Delhi,NY,Public,"2,890","2,555",88.41%,"$30,694","2,634","1,172","1,462",44.50%,55.50%,44/56
SUNY Cortland,NY,Public,"11,420","6,909",60.50%,"$36,480","6,658","2,820","3,838",42.36%,57.64%,42/58
SUNY Morrisville,NY,Public,"3,529","2,853",80.84%,"$36,981","1,957",906,"1,051",46.30%,53.70%,46/54
SUNY Oneonta,NY,Public,"9,940","6,919",69.61%,"$37,455","5,918","2,188","3,730",36.97%,63.03%,37/63
SUNY Polytechnic Institute,NY,Public,"2,686","2,075",77.25%,"$36,746","2,850","1,697","1,153",59.54%,40.46%,60/40
Susquehanna University,PA,Private not-for-profit,"5,384","4,126",76.63%,"$73,010","2,202",960,"1,242",43.60%,56.40%,44/56
Swarthmore College,PA,Private not-for-profit,"13,012","1,013",7.79%,"$80,014","1,651",821,830,49.73%,50.27%,50/50
Syracuse University,NY,Private not-for-profit,"39,682","23,489",59.19%,"$80,947","21,772","10,058","11,714",46.20%,53.80%,46/54
Tarleton State University,TX,Public,"10,657","6,054",56.81%,"$32,773","13,995","4,973","9,022",35.53%,64.47%,36/64
Taylor University,IN,Private not-for-profit,"2,037","1,484",72.85%,"$52,034","1,982",904,"1,078",45.61%,54.39%,46/54
Temple University,PA,Public,"37,571","27,176",72.33%,"$57,283","35,626","15,305","20,321",42.96%,57.04%,43/57
Tennessee Technological University,TN,Public,"6,412","5,075",79.15%,"$37,016","9,840","5,053","4,787",51.35%,48.65%,51/49
Texas A & M International University,TX,Public,"5,263","2,862",54.38%,"$33,028","8,455","3,232","5,223",38.23%,61.77%,38/62
Texas A & M University-College Station,TX,Public,"43,763","28,132",64.28%,"$59,153","72,530","38,300","34,230",52.81%,47.19%,53/47
Texas A & M University-Commerce,TX,Public,"5,203","4,509",86.66%,"$36,610","11,504","4,345","7,159",37.77%,62.23%,38/62
Texas A & M University-Corpus Christi,TX,Public,"7,222","6,592",91.28%,"$35,923","10,762","4,154","6,608",38.60%,61.40%,39/61
Texas A & M University-Kingsville,TX,Public,"4,936","4,584",92.87%,"$39,537","6,405","3,148","3,257",49.15%,50.85%,49/51
Texas A&M University-Central Texas,TX,Public,49,47,95.92%,$0,"2,219",893,"1,326",40.24%,59.76%,40/60
Texas A&M University-San Antonio,TX,Public,"10,684","7,772",72.74%,"$40,052","6,893","2,430","4,463",35.25%,64.75%,35/65
Texas A&M University-Texarkana,TX,Public,"1,681","1,614",96.01%,"$37,569","2,112",746,"1,366",35.32%,64.68%,35/65
Texas Christian University,TX,Private not-for-profit,"19,782","10,606",53.61%,"$73,110","11,938","4,754","7,184",39.82%,60.18%,40/60
Texas Southern University,TX,Public,"10,554","6,654",63.05%,"$37,699","7,524","2,710","4,814",36.02%,63.98%,36/64
Texas State University,TX,Public,"31,073","21,748",69.99%,"$38,419","37,864","15,011","22,853",39.64%,60.36%,40/60
Texas Tech University,TX,Public,"33,756","22,908",67.86%,"$40,292","40,542","20,191","20,351",49.80%,50.20%,50/50
Texas Wesleyan University,TX,Private not-for-profit,"3,977","2,288",57.53%,"$51,560","2,531","1,054","1,477",41.64%,58.36%,42/58
Texas Woman's University,TX,Public,"5,355","5,125",95.70%,"$32,689","16,338","1,838","14,500",11.25%,88.75%,11/89
The Catholic University of America,DC,Private not-for-profit,"5,895","5,070",86.01%,"$75,006","5,059","2,298","2,761",45.42%,54.58%,45/55
The Chicago School of Professional Psychology at Los Angeles,CA,Private not-for-profit,71,26,36.62%,$0,"3,260",562,"2,698",17.24%,82.76%,17/83
The College of New Jersey,NJ,Public,"10,393","6,442",61.98%,"$50,650","7,589","3,138","4,451",41.35%,58.65%,41/59
The College of Saint Rose,NY,Private not-for-profit,"4,525","3,454",76.33%,"$53,884","3,307",959,"2,348",29.00%,71.00%,29/71
The College of Saint Scholastica,MN,Private not-for-profit,"2,087","1,538",73.69%,"$54,056","3,512",976,"2,536",27.79%,72.21%,28/72
The College of Wooster,OH,Private not-for-profit,"6,611","4,008",60.63%,"$73,250","1,968",900,"1,068",45.73%,54.27%,46/54
The Evergreen State College,WA,Public,"1,111","1,105",99.46%,"$48,330","2,116",806,"1,310",38.09%,61.91%,38/62
The Master's University and Seminary,CA,Private not-for-profit,"1,063",712,66.98%,"$49,322","2,435","1,561",874,64.11%,35.89%,64/36
The New School,NY,Private not-for-profit,"9,696","6,428",66.30%,"$85,097","10,493","2,790","7,703",26.59%,73.41%,27/73
The Southern Baptist Theological Seminary,KY,Private not-for-profit,355,285,80.28%,"$22,650","4,448","3,502",946,78.73%,21.27%,79/21
The University of Alabama,AL,Public,"42,421","33,472",78.90%,"$52,384","38,316","16,228","22,088",42.35%,57.65%,42/58
The University of Findlay,OH,Private not-for-profit,"3,554","2,971",83.60%,"$52,845","4,811","1,702","3,109",35.38%,64.62%,35/65
The University of Montana,MT,Public,"7,233","5,941",82.14%,"$47,274","10,106","4,092","6,014",40.49%,59.51%,40/60
The University of Tampa,FL,Private not-for-profit,"32,904","17,620",53.55%,"$50,008","10,794","4,236","6,558",39.24%,60.76%,39/61
The University of Tennessee-Chattanooga,TN,Public,"7,607","6,518",85.68%,"$40,916","11,457","4,752","6,705",41.48%,58.52%,41/59
The University of Tennessee-Knoxville,TN,Public,"29,909","22,413",74.94%,"$51,078","31,701","14,398","17,303",45.42%,54.58%,45/55
The University of Tennessee-Martin,TN,Public,"8,705","6,539",75.12%,"$28,212","6,712","2,523","4,189",37.59%,62.41%,38/62
The University of Texas at Arlington,TX,Public,"15,498","14,367",92.70%,"$47,047","45,949","16,972","28,977",36.94%,63.06%,37/63
The University of Texas at Austin,TX,Public,"66,077","18,994",28.75%,"$59,618","51,991","23,245","28,746",44.71%,55.29%,45/55
The University of Texas at Dallas,TX,Public,"18,838","16,429",87.21%,"$56,290","29,696","16,732","12,964",56.34%,43.66%,56/44
The University of Texas at El Paso,TX,Public,"10,153","10,151",99.98%,"$39,792","24,003","10,531","13,472",43.87%,56.13%,44/56
The University of Texas at San Antonio,TX,Public,"21,726","19,662",90.50%,"$36,151","34,734","16,421","18,313",47.28%,52.72%,47/53
The University of Texas at Tyler,TX,Public,"3,577","3,358",93.88%,"$41,213","9,687","3,523","6,164",36.37%,63.63%,36/64
The University of Texas Permian Basin,TX,Public,"1,212",784,64.69%,"$37,152","5,534","2,251","3,283",40.68%,59.32%,41/59
The University of Texas Rio Grande Valley,TX,Public,"14,386","13,508",93.90%,"$33,037","31,940","12,709","19,231",39.79%,60.21%,40/60
The University of the South,TN,Private not-for-profit,"4,162","2,508",60.26%,"$68,704","1,820",868,952,47.69%,52.31%,48/52
The University of West Florida,FL,Public,"8,660","4,573",52.81%,"$34,409","13,288","5,156","8,132",38.80%,61.20%,39/61
Thomas Jefferson University,PA,Private not-for-profit,"5,135","4,010",78.09%,"$65,819","8,270","2,213","6,057",26.76%,73.24%,27/73
Thomas More University,KY,Private not-for-profit,"2,691","2,595",96.43%,"$49,436","1,980",927,"1,053",46.82%,53.18%,47/53
Tiffin University,OH,Private not-for-profit,"3,751","2,766",73.74%,"$46,090","2,934","1,342","1,592",45.74%,54.26%,46/54
Toccoa Falls College,GA,Private not-for-profit,879,544,61.89%,"$35,950","1,764",692,"1,072",39.23%,60.77%,39/61
Touro University,NY,Private not-for-profit,"1,592","1,225",76.95%,"$35,340","11,222","3,333","7,889",29.70%,70.30%,30/70
Towson University,MD,Public,"11,616","10,213",87.92%,"$44,722","20,856","7,927","12,929",38.01%,61.99%,38/62
Trevecca Nazarene University,TN,Private not-for-profit,"1,565","1,216",77.70%,"$40,610","3,717","1,244","2,473",33.47%,66.53%,33/67
Trine University,IN,Private not-for-profit,"4,167","3,272",78.52%,"$51,410","4,024","2,072","1,952",51.49%,48.51%,51/49
Trinity College,CT,Private not-for-profit,"5,603","2,115",37.75%,"$83,090","2,190","1,119","1,071",51.10%,48.90%,51/49
Trinity University,TX,Private not-for-profit,"9,626","3,246",33.72%,"$65,798","2,704","1,265","1,439",46.78%,53.22%,47/53
Trinity Washington University,DC,Private not-for-profit,737,717,97.29%,"$40,690","1,862",83,"1,779",4.46%,95.54%,4/96
Troy University,AL,Public,"6,766","6,446",95.27%,"$32,289","14,901","5,295","9,606",35.53%,64.47%,36/64
Truett McConnell University,GA,Private not-for-profit,"1,055",726,68.82%,"$38,396","2,710","1,237","1,473",45.65%,54.35%,46/54
Truman State University,MO,Public,"4,068","2,481",60.99%,"$32,252","4,225","1,683","2,542",39.83%,60.17%,40/60
Tufts University,MA,Private not-for-profit,"31,198","3,566",11.43%,"$84,600","13,293","5,547","7,746",41.73%,58.27%,42/58
Tulane University of Louisiana,LA,Private not-for-profit,"45,525","4,385",9.63%,"$83,890","14,047","5,467","8,580",38.92%,61.08%,39/61
Tuskegee University,AL,Private not-for-profit,"8,597","2,940",34.20%,"$41,924","2,654",929,"1,725",35.00%,65.00%,35/65
Union College,NY,Private not-for-profit,"7,470","3,513",47.03%,"$81,720","2,096","1,150",946,54.87%,45.13%,55/45
Union University,TN,Private not-for-profit,"2,660","1,407",52.89%,"$56,340","2,930",972,"1,958",33.17%,66.83%,33/67
United States Air Force Academy,CO,Public,"11,687","1,453",12.43%,$0,"4,181","2,987","1,194",71.44%,28.56%,71/29
United States Military Academy,NY,Public,"13,955","1,488",10.66%,$0,"4,594","3,505","1,089",76.30%,23.70%,76/24
United States Naval Academy,MD,Public,"16,265","1,374",8.45%,$0,"4,528","3,230","1,298",71.33%,28.67%,71/29
Unity College,ME,Private not-for-profit,"2,903","2,654",91.42%,"$26,524","2,439",642,"1,797",26.32%,73.68%,26/74
University at Buffalo,NY,Public,"30,750","21,552",70.09%,"$49,186","32,332","16,810","15,522",51.99%,48.01%,52/48
University of Akron Main Campus,OH,Public,"11,332","9,623",84.92%,"$31,430","14,498","7,351","7,147",50.70%,49.30%,51/49
University of Alabama at Birmingham,AL,Public,"11,906","10,541",88.54%,"$41,293","22,289","8,111","14,178",36.39%,63.61%,36/64
University of Alabama in Huntsville,AL,Public,"5,781","4,259",73.67%,"$42,770","9,636","5,485","4,151",56.92%,43.08%,57/43
University of Alaska Anchorage,AK,Public,"3,431","2,369",69.05%,"$42,919","10,845","4,163","6,682",38.39%,61.61%,38/62
University of Alaska Fairbanks,AK,Public,"1,402",907,64.69%,"$37,332","6,826","2,625","4,201",38.46%,61.54%,38/62
University of Alaska Southeast,AK,Public,464,261,56.25%,"$34,774","1,997",670,"1,327",33.55%,66.45%,34/66
University of Arizona,AZ,Public,"48,065","41,946",87.27%,"$57,927","48,274","21,394","26,880",44.32%,55.68%,44/56
University of Arkansas,AR,Public,"21,462","17,743",82.67%,"$46,054","29,068","12,926","16,142",44.47%,55.53%,44/56
University of Arkansas at Little Rock,AR,Public,"3,786","2,184",57.69%,"$35,428","8,295","3,086","5,209",37.20%,62.80%,37/63
University of Arkansas at Pine Bluff,AR,Public,"4,699","3,173",67.53%,"$29,614","2,670","1,111","1,559",41.61%,58.39%,42/58
University of Baltimore,MD,Public,265,237,89.43%,$0,"3,710","1,398","2,312",37.68%,62.32%,38/62
University of Bridgeport,CT,Private not-for-profit,"4,940","3,613",73.14%,"$60,982","3,563","1,137","2,426",31.91%,68.09%,32/68
University of California-Berkeley,CA,Public,"112,843","16,295",14.44%,"$73,115","45,036","21,273","23,763",47.24%,52.76%,47/53
University of California-Davis,CA,Public,"87,120","42,475",48.75%,"$68,628","40,050","16,285","23,765",40.66%,59.34%,41/59
University of California-Irvine,CA,Public,"107,950","31,110",28.82%,"$67,361","36,505","16,883","19,622",46.25%,53.75%,46/54
University of California-Los Angeles,CA,Public,"139,489","15,028",10.77%,"$67,052","46,116","19,990","26,126",43.35%,56.65%,43/57
University of California-Merced,CA,Public,"27,793","24,068",86.60%,"$68,979","9,093","4,403","4,690",48.42%,51.58%,48/52
University of California-Riverside,CA,Public,"52,672","34,437",65.38%,"$67,298","26,847","12,888","13,959",48.01%,51.99%,48/52
University of California-San Diego,CA,Public,"118,386","40,493",34.20%,"$67,112","41,885","21,160","20,725",50.52%,49.48%,51/49
University of California-Santa Barbara,CA,Public,"105,641","30,824",29.18%,"$67,974","26,124","11,729","14,395",44.90%,55.10%,45/55
University of California-Santa Cruz,CA,Public,"61,695","36,177",58.64%,"$68,784","19,841","10,375","9,466",52.29%,47.71%,52/48
University of Central Arkansas,AR,Public,"6,057","5,595",92.37%,"$31,598","10,105","3,710","6,395",36.71%,63.29%,37/63
University of Central Florida,FL,Public,"48,929","17,797",36.37%,"$40,135","70,310","31,150","39,160",44.30%,55.70%,44/56
University of Central Missouri,MO,Public,"5,103","3,867",75.78%,"$30,958","10,530","4,637","5,893",44.04%,55.96%,44/56
University of Central Oklahoma,OK,Public,"8,708","7,080",81.30%,"$37,249","13,250","4,912","8,338",37.07%,62.93%,37/63
University of Charleston,WV,Private not-for-profit,"1,984","1,383",69.71%,"$46,500","2,926","1,710","1,216",58.44%,41.56%,58/42
University of Chicago,IL,Private not-for-profit,"37,974","2,460",6.48%,"$86,856","18,832","10,151","8,681",53.90%,46.10%,54/46
University of Cincinnati-Main Campus,OH,Public,"25,775","21,865",84.83%,"$45,530","40,329","18,556","21,773",46.01%,53.99%,46/54
University of Colorado Boulder,CO,Public,"54,756","43,576",79.58%,"$60,716","39,000","21,625","17,375",55.45%,44.55%,55/45
University of Colorado Colorado Springs,CO,Public,"11,900","11,337",95.27%,"$39,901","12,031","5,396","6,635",44.85%,55.15%,45/55
University of Colorado Denver/Anschutz Medical Campus,CO,Public,"14,428","10,395",72.05%,"$48,844","24,267","9,656","14,611",39.79%,60.21%,40/60
University of Connecticut,CT,Public,"36,753","20,433",55.60%,"$59,706","26,876","12,588","14,288",46.84%,53.16%,47/53
University of Dallas,TX,Private not-for-profit,"4,990","2,912",58.36%,"$66,430","2,538","1,237","1,301",48.74%,51.26%,49/51
University of Dayton,OH,Private not-for-profit,"17,262","13,919",80.63%,"$64,310","11,971","6,212","5,759",51.89%,48.11%,52/48
University of Delaware,DE,Public,"34,111","24,679",72.35%,"$54,964","23,996","10,273","13,723",42.81%,57.19%,43/57
University of Denver,CO,Private not-for-profit,"22,694","14,440",63.63%,"$76,059","14,130","5,424","8,706",38.39%,61.61%,38/62
University of Detroit Mercy,MI,Private not-for-profit,"4,435","4,135",93.24%,"$45,618","5,227","2,148","3,079",41.09%,58.91%,41/59
University of Dubuque,IA,Private not-for-profit,"1,905","1,456",76.43%,"$51,400","2,001","1,103",898,55.12%,44.88%,55/45
University of Evansville,IN,Private not-for-profit,"3,661","2,744",74.95%,"$58,446","2,078",803,"1,275",38.64%,61.36%,39/61
University of Florida,FL,Public,"51,207","15,431",30.13%,"$44,089","55,781","24,049","31,732",43.11%,56.89%,43/57
University of Florida-Online,FL,Public,"1,766","1,161",65.74%,$0,"5,168","2,389","2,779",46.23%,53.77%,46/54
University of Georgia,GA,Public,"39,229","15,685",39.98%,"$46,582","40,118","16,480","23,638",41.08%,58.92%,41/59
University of Hartford,CT,Private not-for-profit,"13,459","10,605",78.79%,"$64,100","5,917","2,520","3,397",42.59%,57.41%,43/57
University of Hawaii at Hilo,HI,Public,"2,900","2,673",92.17%,"$34,300","3,243","1,120","2,123",34.54%,65.46%,35/65
University of Hawaii at Manoa,HI,Public,"19,607","13,721",69.98%,"$52,363","19,098","7,474","11,624",39.13%,60.87%,39/61
University of Hawaii-West Oahu,HI,Public,743,703,94.62%,$0,"3,008",999,"2,009",33.21%,66.79%,33/67
University of Houston,TX,Public,"29,721","19,474",65.52%,"$37,993","47,031","22,646","24,385",48.15%,51.85%,48/52
University of Houston-Clear Lake,TX,Public,"1,793","1,635",91.19%,"$36,526","9,279","3,320","5,959",35.78%,64.22%,36/64
University of Houston-Downtown,TX,Public,"6,148","5,831",94.84%,$0,"15,077","5,531","9,546",36.69%,63.31%,37/63
University of Houston-Victoria,TX,Public,"2,272","1,212",53.35%,"$32,193","4,189","1,391","2,798",33.21%,66.79%,33/67
University of Idaho,ID,Public,"9,814","7,987",81.38%,"$42,082","11,303","5,439","5,864",48.12%,51.88%,48/52
University of Illinois Chicago,IL,Public,"22,791","17,960",78.80%,"$50,480","34,199","15,189","19,010",44.41%,55.59%,44/56
University of Illinois Springfield,IL,Public,"2,496","1,984",79.49%,"$36,230","3,944","1,877","2,067",47.59%,52.41%,48/52
University of Illinois Urbana-Champaign,IL,Public,"47,593","28,395",59.66%,"$50,106","56,607","30,978","25,629",54.72%,45.28%,55/45
University of Indianapolis,IN,Private not-for-profit,"10,241","7,973",77.85%,"$51,612","5,325","1,813","3,512",34.05%,65.95%,34/66
University of Iowa,IA,Public,"22,434","19,340",86.21%,"$48,846","29,909","13,392","16,517",44.78%,55.22%,45/55
University of Kansas,KS,Public,"15,275","14,129",92.50%,"$42,641","26,780","12,225","14,555",45.65%,54.35%,46/54
University of Kentucky,KY,Public,"21,695","20,396",94.01%,"$52,482","30,390","12,636","17,754",41.58%,58.42%,42/58
University of La Verne,CA,Private not-for-profit,"5,004","3,600",71.94%,"$66,454","6,201","2,248","3,953",36.25%,63.75%,36/64
University of Louisiana at Lafayette,LA,Public,"10,409","8,155",78.35%,"$42,522","16,225","6,918","9,307",42.64%,57.36%,43/57
University of Louisiana at Monroe,LA,Public,"4,945","3,456",69.89%,"$37,503","8,718","2,807","5,911",32.20%,67.80%,32/68
University of Louisville,KY,Public,"15,455","11,544",74.69%,"$48,026","22,140","9,959","12,181",44.98%,55.02%,45/55
University of Lynchburg,VA,Private not-for-profit,"3,102","3,005",96.87%,"$50,610","2,553",940,"1,613",36.82%,63.18%,37/63
University of Maine,ME,Public,"14,965","14,435",96.46%,"$49,056","12,657","6,070","6,587",47.96%,52.04%,48/52
University of Maine at Farmington,ME,Public,"1,569","1,517",96.69%,"$36,484","1,878",551,"1,327",29.34%,70.66%,29/71
University of Mary,ND,Private not-for-profit,"1,532","1,207",78.79%,"$33,348","3,794","1,438","2,356",37.90%,62.10%,38/62
University of Mary Hardin-Baylor,TX,Private not-for-profit,"14,587","14,491",99.34%,"$46,180","3,732","1,284","2,448",34.41%,65.59%,34/66
University of Mary Washington,VA,Public,"5,027","4,118",81.92%,"$48,004","3,956","1,386","2,570",35.04%,64.96%,35/65
University of Maryland Eastern Shore,MD,Public,"7,625","6,245",81.90%,"$37,384","2,384","1,018","1,366",42.70%,57.30%,43/57
University of Maryland-Baltimore County,MD,Public,"11,093","9,007",81.20%,"$47,559","13,638","7,342","6,296",53.83%,46.17%,54/46
University of Maryland-College Park,MD,Public,"50,183","26,109",52.03%,"$57,873","41,272","20,946","20,326",50.75%,49.25%,51/49
University of Massachusetts Global,CA,Public,168,156,92.86%,$0,"9,798","2,881","6,917",29.40%,70.60%,29/71
University of Massachusetts-Amherst,MA,Public,"42,540","27,877",65.53%,"$54,694","32,045","15,557","16,488",48.55%,51.45%,49/51
University of Massachusetts-Boston,MA,Public,"16,383","12,926",78.90%,"$55,723","15,637","6,283","9,354",40.18%,59.82%,40/60
University of Massachusetts-Dartmouth,MA,Public,"7,983","7,362",92.22%,"$50,657","7,717","3,676","4,041",47.64%,52.36%,48/52
University of Massachusetts-Lowell,MA,Public,"12,493","10,565",84.57%,"$51,100","17,597","10,079","7,518",57.28%,42.72%,57/43
University of Memphis,TN,Public,"14,916","14,201",95.21%,"$32,360","21,622","8,471","13,151",39.18%,60.82%,39/61
University of Miami,FL,Private not-for-profit,"42,245","12,037",28.49%,"$79,020","19,096","8,726","10,370",45.70%,54.30%,46/54
University of Michigan-Ann Arbor,MI,Public,"79,743","16,071",20.15%,"$72,154","50,278","24,655","25,623",49.04%,50.96%,49/51
University of Michigan-Dearborn,MI,Public,"8,065","5,546",68.77%,$0,"8,331","4,614","3,717",55.38%,44.62%,55/45
University of Michigan-Flint,MI,Public,"4,021","2,970",73.86%,"$39,270","6,418","2,277","4,141",35.48%,64.52%,35/65
University of Minnesota-Crookston,MN,Public,"1,196",576,48.16%,"$25,940","2,304",978,"1,326",42.45%,57.55%,42/58
University of Minnesota-Duluth,MN,Public,"9,610","7,644",79.54%,"$32,598","9,884","4,898","4,986",49.55%,50.45%,50/50
University of Minnesota-Twin Cities,MN,Public,"35,905","26,295",73.23%,"$50,339","52,376","23,418","28,958",44.71%,55.29%,45/55
University of Mississippi,MS,Public,"19,531","17,512",89.66%,"$45,130","21,203","8,830","12,373",41.65%,58.35%,42/58
University of Missouri-Columbia,MO,Public,"19,966","15,283",76.55%,"$49,210","31,401","13,836","17,565",44.06%,55.94%,44/56
University of Missouri-Kansas City,MO,Public,"4,967","3,774",75.98%,"$45,058","16,003","6,717","9,286",41.97%,58.03%,42/58
University of Missouri-St Louis,MO,Public,"3,054","1,729",56.61%,"$47,910","15,189","6,139","9,050",40.42%,59.58%,40/60
University of Mobile,AL,Private not-for-profit,"1,774","1,137",64.09%,"$43,106","1,911",677,"1,234",35.43%,64.57%,35/65
University of Montevallo,AL,Public,"4,045","3,644",90.09%,"$41,065","2,625",893,"1,732",34.02%,65.98%,34/66
University of Mount Olive,NC,Private not-for-profit,"1,676","1,384",82.58%,"$36,924","2,288",751,"1,537",32.82%,67.18%,33/67
University of Mount Union,OH,Private not-for-profit,"3,514","2,802",79.74%,"$46,856","2,133","1,069","1,064",50.12%,49.88%,50/50
University of Nebraska at Kearney,NE,Public,"6,076","5,488",90.32%,"$30,650","6,275","2,226","4,049",35.47%,64.53%,35/65
University of Nebraska at Omaha,NE,Public,"8,821","7,696",87.25%,"$37,250","15,328","6,691","8,637",43.65%,56.35%,44/56
University of Nebraska-Lincoln,NE,Public,"17,775","14,411",81.07%,"$44,194","24,431","12,274","12,157",50.24%,49.76%,50/50
University of Nevada-Las Vegas,NV,Public,"13,025","10,873",83.48%,"$42,291","30,679","13,087","17,592",42.66%,57.34%,43/57
